,Unnamed: 0,movieId,title,genres,rating_size,rating_mean
315,315,318,"Shawshank Redemption, The (1994)",Crime|Drama,63366.0,4.44699049963703
845,845,858,"Godfather, The (1972)",Crime|Drama,41355.0,4.36473219683231
49,49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,47006.0,4.334372207803259
523,523,527,Schindler's List (1993),Drama|War,50054.0,4.31017501098813
1197,1197,1221,"Godfather: Part II, The (1974)",Crime|Drama,27398.0,4.27564055770494
1938,1938,2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,11611.0,4.2741796572216
889,889,904,Rear Window (1954),Mystery|Thriller,17449.0,4.27133360077941
7360,7360,7502,Band of Brothers (2001),Action|Drama|War,4305.0,4.26318234610918
897,897,912,Casablanca (1942),Drama|Romance,24349.0,4.2583268306706605
907,907,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,6525.0,4.25693486590038
1171,1171,1193,One Flew Over the Cuckoo's Nest (1975),Drama,29932.0,4.24807897901911
738,738,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,23220.0,4.24728682170543
1188,1188,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,6565.0,4.24600152322925
5921,5921,6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,12937.0,4.23541006415707
10905,10905,44555,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller,5720.0,4.2347902097902095
893,893,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,15627.0,4.23353810712229
1157,1157,1178,Paths of Glory (1957),Drama|War,3568.0,4.23262331838565
2876,2876,2959,Fight Club (1999),Action|Crime|Drama|Thriller,40106.0,4.22712312372214
3349,3349,3435,Double Indemnity (1944),Crime|Drama|Film-Noir,4909.0,4.22428193114687
1180,1180,1203,12 Angry Men (1957),Drama,12934.0,4.2241379310344795
15192,15192,77658,Cosmos (1980),Documentary,936.0,4.22061965811966
12521,12521,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,20438.0,4.22012917115178
1175,1175,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,43295.0,4.2190091234553595
2946,2946,3030,Yojimbo (1961),Action|Adventure,3559.0,4.21171677437483
1258,1258,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery,5529.0,4.20736118647133
911,911,926,All About Eve (1950),Drama,4826.0,4.20410277662661
5523,5523,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,13466.0,4.20380959453438
1226,1226,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,15310.0,4.19967341606793
915,915,930,Notorious (1946),Film-Noir|Romance|Thriller,4932.0,4.1977899432279
4881,4881,4973,"Amelie (Fabuleux destin d'AmÃ©lie Poulain, Le) (2001)",Comedy|Romance,24349.0,4.197071748326421
1234,1234,1260,M (1931),Crime|Film-Noir|Thriller,4232.0,4.19317107750473
257,257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,54502.0,4.19067190194855
1183,1183,1207,To Kill a Mockingbird (1962),Drama,14769.0,4.18894305640192
1173,1173,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,45313.0,4.18820206121864
898,898,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,12144.0,4.18721179183136
2489,2489,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,51334.0,4.187185880702851
935,935,950,"Thin Man, The (1934)",Comedy|Crime,3358.0,4.184187016081
1189,1189,1213,Goodfellas (1990),Crime|Drama,26406.0,4.18363250776339
1222,1222,1248,Touch of Evil (1958),Crime|Film-Noir|Thriller,4718.0,4.1830224671471
18942,18942,94466,Black Mirror (2011),Drama|Sci-Fi,582.0,4.18298969072165
1127,1127,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,15022.0,4.1810677672746595
4136,4136,4226,Memento (2000),Mystery|Thriller,30443.0,4.17854679236606
588,588,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,63299.0,4.17705650958151
1174,1174,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,32586.0,4.17673233904131
5198,5198,5291,Rashomon (RashÃ´mon) (1950),Crime|Drama|Mystery,3712.0,4.17672413793104
2242,2242,2324,Life Is Beautiful (La Vita Ã¨ bella) (1997),Comedy|Drama|Romance|War,18156.0,4.17583718880811
293,293,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,67310.0,4.174231169217061
1115,1115,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,33024.0,4.1741460755814
8939,8939,26587,"Decalogue, The (Dekalog) (1989)",Crime|Drama|Romance,402.0,4.17412935323383
3223,3223,3307,City Lights (1931),Comedy|Drama|Romance,2593.0,4.174122637871189
1193,1193,1217,Ran (1985),Drama|War,4824.0,4.17361111111111
1209,1209,1234,"Sting, The (1973)",Comedy|Crime,14926.0,4.17355621063915
883,883,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,6583.0,4.171426401336779
890,890,905,It Happened One Night (1934),Comedy|Romance,4184.0,4.17005258126195
733,733,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,12073.0,4.16731549739087
1864,1864,1945,On the Waterfront (1954),Crime|Drama,5644.0,4.16353649893692
2939,2939,3022,"General, The (1926)",Comedy|War,2224.0,4.16276978417266
1181,1181,1204,Lawrence of Arabia (1962),Adventure|Drama|War,12378.0,4.162102116658589
1228,1228,1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western,5155.0,4.16139670223084
2122,2122,2203,Shadow of a Doubt (1943),Crime|Drama|Thriller,2199.0,4.15961800818554
2105,2105,2186,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,5154.0,4.15861466821886
1126,1126,1147,When We Were Kings (1996),Documentary,3737.0,4.15841584158416
15517,15517,79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,14023.0,4.1561720031377
2775,2775,2858,American Beauty (1999),Comedy|Drama,44987.0,4.15593393647054
1151,1151,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,9100.0,4.15401098901099
936,936,951,His Girl Friday (1940),Comedy|Romance,3902.0,4.15299846232701
2247,2247,2329,American History X (1998),Crime|Drama,23309.0,4.1512076880175
3050,3050,3134,Grand Illusion (La grande illusion) (1937),Drama|War,1594.0,4.150878293601
5876,5876,5971,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy,5489.0,4.1494807797413
888,888,903,Vertigo (1958),Drama|Mystery|Romance|Thriller,14094.0,4.148006243791681
4916,4916,5008,Witness for the Prosecution (1957),Drama|Mystery|Thriller,1620.0,4.14660493827161
1254,1254,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,3253.0,4.14432831232708
3005,3005,3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,3186.0,4.14359698681733
3376,3376,3462,Modern Times (1936),Comedy|Drama|Romance,3732.0,4.14308681672026
7045,7045,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,31577.0,4.14238211356367
661,661,668,Song of the Little Road (Pather Panchali) (1955),Drama,761.0,4.13994743758213
1208,1208,1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War,13612.0,4.13972965030855
1110,1110,1131,Jean de Florette (1986),Drama|Mystery,3247.0,4.13905143209116
2269,2269,2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama,1152.0,4.13888888888889
4901,4901,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,37553.0,4.13792506590685
1236,1236,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War,10904.0,4.13765590608951
2648,2648,2731,"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama,2851.0,4.13626797614872
537,537,541,Blade Runner (1982),Action|Sci-Fi|Thriller,30526.0,4.13370569350717
1868,1868,1949,"Man for All Seasons, A (1966)",Drama,2123.0,4.13259538389072
18486,18486,92259,Intouchables (2011),Comedy|Drama,2738.0,4.13239590942294
908,908,923,Citizen Kane (1941),Drama|Mystery,17774.0,4.13044334421064
2852,2852,2935,"Lady Eve, The (1941)",Comedy|Romance,1398.0,4.13018597997139
1230,1230,1256,Duck Soup (1933),Comedy|Musical|War,5569.0,4.12964625606033
1167,1167,1189,"Thin Blue Line, The (1988)",Documentary,2700.0,4.12888888888889
2776,2776,2859,Stop Making Sense (1984),Documentary|Musical,2192.0,4.12887773722628
1185,1185,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western,4407.0,4.12854549580213
1241,1241,1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War,8988.0,4.1285046728972
22577,22577,108583,Fawlty Towers (1975-1979),Comedy,230.0,4.128260869565221
662,662,670,"World of Apu, The (Apur Sansar) (1959)",Drama,765.0,4.12483660130719
3382,3382,3468,"Hustler, The (1961)",Drama,3955.0,4.1246523388116305
6563,6563,6669,Ikiru (1952),Drama,1118.0,4.124329159212881
2278,2278,2360,"Celebration, The (Festen) (1998)",Drama,2292.0,4.12325479930192
1178,1178,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,14496.0,4.12324089403974
1200,1200,1224,Henry V (1989),Action|Drama|Romance|War,4656.0,4.1208118556701
3343,3343,3429,Creature Comforts (1989),Animation|Comedy,2585.0,4.12069632495164
1985,1985,2066,Out of the Past (1947),Film-Noir,1082.0,4.11876155268022
2837,2837,2920,Children of Paradise (Les enfants du paradis) (1945),Drama|Romance,1048.0,4.11736641221374
2822,2822,2905,Sanjuro (Tsubaki SanjÃ»rÃ´) (1962),Action|Adventure|Drama,1209.0,4.117038875103391
913,913,928,Rebecca (1940),Drama|Mystery|Romance|Thriller,4652.0,4.11597162510748
1858,1858,1939,"Best Years of Our Lives, The (1946)",Drama|War,1834.0,4.11477644492912
18644,18644,93040,"Civil War, The (1990)",Documentary|War,256.0,4.11328125
603,603,608,Fargo (1996),Comedy|Crime|Drama|Thriller,43272.0,4.11235903124422
927,927,942,Laura (1944),Crime|Film-Noir|Mystery,2641.0,4.1113214691404805
109,109,111,Taxi Driver (1976),Crime|Drama|Thriller,24481.0,4.11057554838446
7219,7219,7327,Persona (1966),Drama,1098.0,4.11020036429873
1224,1224,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,12576.0,4.11005089058524
11357,11357,48516,"Departed, The (2006)",Crime|Drama|Thriller,14309.0,4.10993081277518
1250,1250,1276,Cool Hand Luke (1967),Drama,11353.0,4.10983880912534
709,709,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,8171.0,4.10947252478277
1184,1184,1208,Apocalypse Now (1979),Action|Drama|War,23090.0,4.10889995669121
5857,5857,5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,33947.0,4.10752054673462
5055,5055,5147,Wild Strawberries (SmultronstÃ¤llet) (1957),Drama,1646.0,4.10601458080194
7253,7253,7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,22352.0,4.10562813171081
3112,3112,3196,Stalag 17 (1953),Drama|War,2829.0,4.10551431601273
7048,7048,7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Documentary|War,2589.0,4.10351487060641
1212,1212,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,4142.0,4.10284886528247
